mode,model,subset,R2_mean,MAE_mean,RMSE_mean,nMAE_pct_mean,nRMSE_pct_mean,R2_sd,MAE_sd,RMSE_sd,nMAE_pct_sd,nRMSE_pct_sd,n_seeds,skill_vs_SmartPersistence
TEMPORAL,GBM_per_hour,ALL,0.586059973022302,111.52370097613648,229.87858140402733,6.7011562079786104,13.81277943050451,0.0,0.0,0.0,0.0,0.0,5,-0.14994931872437767
TEMPORAL,GBM_per_hour,daylight,0.3271398851304764,245.71849613373735,351.23070935599986,14.76455687328827,21.10449911393558,0.0,0.0,0.0,0.0,0.0,5,-0.13168566287090444
TEMPORAL,InvRMSE,ALL,0.7060465237643918,100.35167016057399,193.71655380654892,6.029859228052752,11.639901435899683,0.0021693422867936525,0.9577821676034738,0.7143706719170961,0.057550528382308695,0.0429245928983241,5,0.03094834797178503
TEMPORAL,InvRMSE,daylight,0.5172162168742563,203.3597885672869,297.5119815725919,12.219337214270611,17.876686702585243,0.0032483859214523995,0.7207276580948199,1.0004385517728103,0.04330656692730618,0.060113634619674755,5,0.041399185466003297
TEMPORAL,Mean,ALL,0.7056097118255307,101.49132710702534,193.86022266840234,6.098338117785012,11.64853410749393,0.0023762767875471352,1.017602497578187,0.7822790613525361,0.061144969492715244,0.047005023528370105,5,0.030229655917913822
TEMPORAL,Mean,daylight,0.5174810773585772,204.13059500712671,297.43030315165475,12.265652879140697,17.871778868172196,0.0033139526048818293,0.7457627432873033,1.02151679237733,0.0448108571820814,0.06138016883297739,5,0.04166235806304053
TEMPORAL,NNLSStack,ALL,0.7130791309378065,87.84729020101506,191.37693162305942,5.278505007743549,11.499319895097246,0.006341002999973834,1.3868155573709597,2.118095870116922,0.08332997919057836,0.1272706264667899,5,0.042652121849036995
TEMPORAL,NNLSStack,daylight,0.5220961471988541,196.48699868240166,295.99205278467997,11.806369941842249,17.785358311008814,0.01031718951475449,1.9450641115626053,3.200013281471148,0.11687361818187098,0.19228010439980725,5,0.04629648394260433
TEMPORAL,Persistence,ALL,0.4408727304844634,119.78934679784922,267.16842706780795,7.1978164095888015,16.053424948696897,0.0,0.0,0.0,0.0,0.0,5,-0.3364888055895532
TEMPORAL,Persistence,daylight,0.0615577830680486,286.000720473526,414.7953283800517,17.185006296532592,24.92392438096438,0.0,0.0,0.0,0.0,0.0,5,-0.33649454233155174
TEMPORAL,Ridge,ALL,0.5944373264854232,138.95102326746118,227.54054043322418,8.349189490877537,13.672292900476615,0.0,0.0,0.0,0.0,0.0,5,-0.13825345473781803
TEMPORAL,Ridge,daylight,0.4062272355212196,242.05815535132578,329.94399207675144,14.544616939958555,19.825438103632095,0.0,0.0,0.0,0.0,0.0,5,-0.06309862844364189
TEMPORAL,RidgeStack,ALL,0.7331991905480406,89.23150740277087,184.54809399176318,5.361678858804335,11.088993594179108,0.004770095679549636,0.35362965136857716,1.645108120165291,0.021248645022109592,0.09885007756871869,5,0.07681283892770485
TEMPORAL,RidgeStack,daylight,0.5619932758522168,189.3262901283535,283.3665526496476,11.376102418791223,17.026726308410453,0.009861835815261242,1.7413804888768514,3.1809940479999064,0.10463482265520337,0.19113729033130397,5,0.08697657571359096
TEMPORAL,SmartPersistence,ALL,0.6869742800589203,85.42224930961233,199.90322848230247,5.132790888845157,12.011641909425043,0.0,0.0,0.0,0.0,0.0,5,0.0
TEMPORAL,SmartPersistence,daylight,0.47462045804191055,203.69776663951822,310.3606601014844,12.239645398424024,18.648728888547428,0.0,0.0,0.0,0.0,0.0,5,0.0
