mode,fold,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct
KFOLD,K1,RidgeStack,ALL,1553,0.8791712411021417,65.19700726840725,135.29082270124454,3.917511041817016,8.129257982758041
KFOLD,K1,RidgeStack,daylight,698,0.7983390057053791,137.82764960545174,201.24674891829136,8.281689019469535,12.09237040239444
KFOLD,K1,NNLSStack,ALL,1553,0.8818894600190581,67.47652323130346,133.76038432711496,4.054480963118469,8.037298098697866
KFOLD,K1,NNLSStack,daylight,698,0.8032484369476088,137.573030148282,198.78198209410027,8.266389628029412,11.944269260120816
KFOLD,K1,BestSingleByVal,ALL,1553,0.8620212244757685,79.32999833784206,144.57370926997172,4.766724079165145,8.687041417252365
KFOLD,K1,BestSingleByVal,daylight,698,0.7728209307671053,153.86727772133557,213.6004085662811,9.245466697054162,12.834668248653102
KFOLD,K1,Persistence,ALL,1553,0.5449043799642646,119.89399611226536,262.56359392410303,7.2041045025844825,15.776733035340767
KFOLD,K1,Persistence,daylight,698,0.23682880027755282,264.46358616188957,391.49742282172485,15.89089840707712,23.524016530896816
KFOLD,K1,Climatology,ALL,1553,0.6690464702107468,108.81525470407712,223.9064937143901,6.538413029702355,13.453932905992486
KFOLD,K1,Climatology,daylight,698,0.44543203297209155,239.33408651312791,333.73004824330167,14.38093504412588,20.052931932855557
KFOLD,K1,SmartPersistence,ALL,1553,0.7046162348596688,93.86720879264051,211.53220252614338,5.640225561210732,12.710395366530825
KFOLD,K1,SmartPersistence,daylight,698,0.5046906486827112,206.90348479274104,315.3960027108687,12.432268293068592,18.95128894610322
KFOLD,K2,Ridge,ALL,1663,0.7685471759692559,92.53034535697921,174.28063914094437,5.559897069305516,10.472050126454459
KFOLD,K2,Ridge,daylight,749,0.6047793392087378,189.62192211673414,258.154906115917,11.393866141810404,15.511826962315206
KFOLD,K2,GBM,ALL,1663,0.8073660817770221,69.94210390680415,158.99529802214994,4.202631007506245,9.553595505304488
KFOLD,K2,GBM,daylight,749,0.6681125242151758,151.15881271863324,236.56799826196598,9.082722393304458,14.214728315925058
KFOLD,K2,GBM_kt,ALL,1663,0.7999090865109806,72.96300835202975,162.04348894465332,4.3841489485326575,9.736753016619579
KFOLD,K2,GBM_kt,daylight,749,0.6555733129011938,158.78304953419192,240.9955149718569,9.540842070292333,14.480765766500367
KFOLD,K2,GBM_per_hour,ALL,1663,0.7984529893747945,76.33984489131963,162.63202978961922,4.58705388210757,9.772116837066465
KFOLD,K2,GBM_per_hour,daylight,749,0.6525849140252469,166.51870657237262,242.03874901826288,10.005656685755017,14.543450866127253
KFOLD,K2,CNN,ALL,1663,0.8119505345668241,92.53751578073309,157.0919582536389,5.560327920588531,9.439228989541354
KFOLD,K2,CNN,daylight,749,0.6862984201876999,167.6948474746438,229.99527603928414,10.076327797274159,13.819791294105203
KFOLD,K2,Mean,ALL,1663,0.8285318512222224,74.23920340832294,150.0063457347856,4.460832042343369,9.013473783226916
KFOLD,K2,Mean,daylight,749,0.7054424320965165,152.98539293653369,222.866942839341,9.192476636209056,13.391469118126123
KFOLD,K2,InvRMSE,ALL,1663,0.8293813368967067,74.08837550641577,149.6343044525809,4.451769203481718,8.991118833327935
KFOLD,K2,InvRMSE,daylight,749,0.7069337909412446,152.4130862147694,222.30203397580468,9.158088280121058,13.357525279240804
KFOLD,K2,RidgeStack,ALL,1663,0.8029282437413052,112.04550315244767,160.81631094405566,6.732509883139307,9.663015224517796
KFOLD,K2,RidgeStack,daylight,749,0.6985893135707031,162.2951194675993,225.44462534281695,9.751872811122428,13.54635505680262
KFOLD,K2,NNLSStack,ALL,1663,0.8311420392108653,78.63194722546065,148.8602253160875,4.724780084262913,8.944606521007083
KFOLD,K2,NNLSStack,daylight,749,0.7121468968609437,153.34763646552392,220.31599128836203,9.214242865735569,13.238189369763456
KFOLD,K2,BestSingleByVal,ALL,1663,0.8119505345668241,92.53751578073309,157.0919582536389,5.560327920588531,9.439228989541354
KFOLD,K2,BestSingleByVal,daylight,749,0.6862984201876999,167.6948474746438,229.99527603928414,10.076327797274159,13.819791294105203
KFOLD,K2,Persistence,ALL,1663,0.5070740203165239,116.55381235123427,254.33653835567083,7.003401934878159,15.282391617209557
KFOLD,K2,Persistence,daylight,749,0.14997290043030398,255.8060560504562,378.5968087056154,15.370690943155099,22.748853676595544
KFOLD,K2,Climatology,ALL,1663,0.6957730670455133,101.08641129014147,199.80977532713618,6.0740078264095425,12.006026563221353
KFOLD,K2,Climatology,daylight,749,0.47584155234566694,221.02216123010825,297.2979111604673,13.280621203065271,17.863823793099662
KFOLD,K2,SmartPersistence,ALL,1663,0.6659285042197352,94.47016453578728,209.38116538761247,5.676455533727416,12.581145388738719
KFOLD,K2,SmartPersistence,daylight,749,0.4239302578882683,207.05080526331966,311.6722206848226,12.441120379910577,18.72753700079845
KFOLD,K3,Ridge,ALL,1707,0.7785558056582867,94.05368586838793,173.69311875295801,5.651430462078019,10.436747622495131
KFOLD,K3,Ridge,daylight,803,0.6297711080061164,181.9420701443618,251.5787074099437,10.932404701142902,15.116681048059153
KFOLD,K3,GBM,ALL,1707,0.8616017788752985,64.1022881495094,137.3142843690367,3.851732344056933,8.250842297106017
KFOLD,K3,GBM,daylight,803,0.7661129474352968,132.64004345706087,199.9593969246449,7.9699798595190785,12.015016918528946
KFOLD,K3,GBM_kt,ALL,1707,0.8575707410244542,65.44556290053339,139.2996647539636,3.932446074484256,8.370138410624513
KFOLD,K3,GBM_kt,daylight,803,0.7597276900178417,136.03885668269052,202.67052366392068,8.174205312470658,12.177921158798037
KFOLD,K3,GBM_per_hour,ALL,1707,0.8437102657750571,71.1926483615272,145.92029204021102,4.2777728263552595,8.767953917567226
KFOLD,K3,GBM_per_hour,daylight,803,0.7357530667613257,148.1996321825635,212.54148256767274,8.90491327428987,12.771040262249722
KFOLD,K3,CNN,ALL,1707,0.8181564770840568,88.3466730224847,157.39806250979817,5.308511564779933,9.457621962680662
KFOLD,K3,CNN,daylight,803,0.6992228739860011,160.6322033585977,226.75722334931726,9.651952699884655,13.625225504993017
KFOLD,K3,Mean,ALL,1707,0.8621547977296866,69.00787817572376,137.03966595919684,4.146495921397308,8.234341222932398
KFOLD,K3,Mean,daylight,803,0.76733340086384,138.30235151670877,199.4370073312618,8.310212567663475,11.983627947072275
