mode,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct,seed
KFOLD,Ridge,daylight,3869,0.6641215665285192,177.731470056603,247.1368306480281,10.679401181080044,14.849780740970568,1
KFOLD,GBM,ALL,8516,0.8371583878858687,68.57813274189077,150.06027534378447,4.120673685795598,9.016714266917589,1
KFOLD,GBM,daylight,3869,0.7282256076371194,146.49137629178622,222.3057418544446,8.802268818742725,13.357748075594841,1
KFOLD,GBM_kt,ALL,8516,0.8381650116756143,68.28468102969842,149.59574909303385,4.103040969649275,8.988802146518601,1
KFOLD,GBM_kt,daylight,3869,0.7302073533090094,147.13698609150623,221.4937457445222,8.841061757637851,13.308957435352141,1
KFOLD,GBM_per_hour,ALL,8516,0.8294311621640873,70.11985733029795,153.57937207797067,4.213311727809723,9.228167229116316,1
KFOLD,GBM_per_hour,daylight,3869,0.71512386126358,151.66939148456163,227.60114915275872,9.11340168422662,13.675934713773804,1
KFOLD,CNN,ALL,8516,0.836539914682687,79.51194695342056,150.3449700951901,4.7776568771636425,9.033820801080841,1
KFOLD,CNN,daylight,3869,0.7308947846637476,152.97793814142136,221.21138285950013,9.192028697823682,13.291991016704745,1
KFOLD,Mean,ALL,8516,0.8572215748666328,68.04303180058785,140.51229786273106,4.088520923976167,8.44300223969127,1
KFOLD,Mean,daylight,3869,0.7619883193792922,141.94040544433807,208.03937905356352,8.52881334443747,12.500521093243746,1
KFOLD,InvRMSE,ALL,8516,0.8581348461424978,67.61389014473569,140.06218885302786,4.062734967753002,8.415956412138566,1
KFOLD,InvRMSE,daylight,3869,0.7634946328433507,141.12155367631937,207.3800208548831,8.479610766324976,12.460902050406258,1
KFOLD,RidgeStack,ALL,8516,0.859137435499182,69.72964598529025,139.56638759666694,4.1898649882007,8.386165061619295,1
KFOLD,RidgeStack,daylight,3869,0.7662740412222883,138.91979129642468,206.1578557045907,8.347312846587878,12.387465466860581,1
KFOLD,NNLSStack,ALL,8516,0.8625318886880345,67.06272656711734,137.874523764793,4.029617045755782,8.284505560358282,1
KFOLD,NNLSStack,daylight,3869,0.7711719228783114,137.56137431304836,203.9863321096253,8.265689260556387,12.256984513558214,1
KFOLD,BestSingleByVal,ALL,8516,0.8438930564741064,70.76085632202386,146.92447674535737,4.251827615778965,8.8282926483657,1
KFOLD,BestSingleByVal,daylight,3869,0.7407990112249149,145.6258351653455,217.1024579143425,8.750260803926663,13.04509687973333,1
KFOLD,Persistence,ALL,8516,0.5221093109505239,117.21702089743961,257.06759050499755,7.043252334637931,15.446493121235951,1
KFOLD,Persistence,daylight,3869,0.20111317287251806,255.49057983976982,381.1439613598147,15.351734834729655,22.90190515957143,1
KFOLD,Climatology,ALL,8516,0.69209475253139,103.88621122799306,206.34387764476807,6.242240198276819,12.39864301986796,1
KFOLD,Climatology,daylight,3869,0.485602992184322,225.7233608095668,305.8409473242269,13.56310351374088,18.3771516267591,1
KFOLD,SmartPersistence,ALL,8516,0.7036135441720341,89.92831396102095,202.44740726722895,5.403548071829975,12.164514700675628,1
KFOLD,SmartPersistence,daylight,3869,0.5045228316773529,195.86704389284523,300.16374611323073,11.76911854280922,18.03602402961138,1
KFOLD,Ridge,ALL,8516,0.7984113901452241,88.562671745985,166.96138450209168,5.321490341257315,10.03225599989997,2
KFOLD,Ridge,daylight,3869,0.6673212798907984,177.0162516317798,245.95685114359532,10.636425649012736,14.778878978276111,2
